PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
O43390;HNRNPR;0,8167952;0,01634981;0,8964934;0,01540207;Vicino all'ER;Nucleus;0,0796982;0,194243927;;
Q9Y5L4;TIMM13;0,8062786;0,01498431;0,8859707;0,01417075;Vicino all'ER;Mitochondria;0,0796921;0,194225274;;
Q01780;EXOSC10;0,8025339;0,01458003;0,8822092;0,01393927;Vicino all'ER;Nucleus;0,0796753;0,194173902;;
A0A0A0MRA5;HNRNPUL1;0,7697604;0,01104497;0,8494197;0,01109462;Vicino all'ER;Nucleus;0,0796593;0,194124977;;
O00291;HIP1;0,517195;0,000826873;0,3587213;0;Vicino al REPLICOMA;Golgi apparatus;0,1584737;0,435126602;Q3;x
Q9NRG9;AAAS;1,013489;0,07570305;1,092906;0,05704657;Vicino all'ER;Nucleus;0,079417;0,193384063;Q3;
Q86Y82;STX12;1,089521;0,1252481;1,168836;0,08855994;Vicino all'ER;PM;0,079315;0,193072163;;
A0A8V8TQI4;OS9;0,5121375;0,000793011;0,5913087;0,001418093;Vicino all'ER;Mitochondria;0,0791712;0,192632446;;
M0R2A0;EMC10;0,5618822;0,001475584;0,6409249;0,002351695;Vicino all'ER;Mitochondria;0,0790427;0,192239514;;
Q9H0X4;FAM234A;1,514392;0,7964393;1,593356;0,6280128;Vicino all'ER;PM;0,078964;0,191998862;;
P01024;C3;1,118963;0,1479966;1,197922;0,1033465;Vicino all'ER;Cytoplasm;0,078959;0,191983573;;
Q8NBK3;SUMF1;0,2470577;0;0,3259941;0;Vicino all'ER;ER;0,0789364;0,191914466;;
Q9NTI5;PDS5B;0,6437853;0,003398204;0,7225548;0,004397866;Vicino all'ER;Nucleus;0,0787695;0,191404113;;
Q9Y2G8;DNAJC16;0,6145483;0,002584459;0,6931913;0,003515625;Vicino all'ER;ER;0,078643;0,191017297;;
Q9BT40;INPP5K;1,202991;0,233739;1,281631;0,1660816;Vicino all'ER;PM;0,07864;0,191008123;;
Q13315;ATM;1,235684;0,2768308;1,314146;0,1958913;Vicino all'ER;protein-complex;0,078462;0,190463828;;
E9PHV5;ITPRID2;1,17241;0,1972659;1,250753;0,1398343;Vicino all'ER;Cytoplasm;0,078343;0,190099945;;
F8W0B5;ATXN2;1,679995;1;1,758325;0,9275925;Vicino all'ER;Translation;0,07833;0,190060194;;
Q9BS26;ERP44;1,100659;0,133385;1,178925;0,09371462;Vicino all'ER;Nucleus;0,078266;0,189864492;;
A0A3B3IUB5;HM13;0,952725;0,04873795;0,9354987;0,02044765;Vicino al REPLICOMA;ER;0,0172263;0,00321501;;
Q5SSJ5;HP1BP3;0,7504951;0,009577799;0,8285381;0,009555;Vicino all'ER;Nucleus;0,078043;0,189182594;;
Q8IY26;PLPP6;1,199017;0,229476;1,277034;0,1616611;Vicino all'ER;ER;0,078017;0,18910309;;
P45973;CBX5;0,8637464;0,02446295;0,9417527;0,02146393;Vicino all'ER;Nucleus;0,0780063;0,189070372;;
Q9UDW1;UQCR10;0,8506907;0,02193492;0,9286898;0,01951389;Vicino all'ER;Nucleus;0,0779991;0,189048355;;
B7Z6D5;DDX27;0,8659491;0,02488859;0,9439023;0,02173699;Vicino all'ER;Nucleus;0,0779532;0,188908;;
O75323;NIPSNAP2;0,5906482;0,002084112;0,6685803;0,002892249;Vicino all'ER;Mitochondria;0,0779321;0,18884348;;
O75494;SRSF10;0,701668;0,006382353;0,7795827;0,006840194;Vicino all'ER;Nucleus;0,0779147;0,188790274;;
Q96QU6;ACCS;0,9990788;0,06851717;1,076978;0,05197413;Vicino all'ER;Nucleus;0,0778992;0,188742877;Q3;x
Q96EV2;RBM33;0,8760819;0,02710544;0,9538978;0,02347059;Vicino all'ER;Nucleus;0,0778159;0,188488159;;
A0A7I2V3Q3;LAS1L;1,08287;0,1202432;1,160465;0,08407097;Vicino all'ER;Nucleus;0,077595;0,187812683;;
F8W038;C17orf49;1,134375;0,1610578;1,211934;0,1114205;Vicino all'ER;Nucleus;0,077559;0,187702601;;
A0A994J434;HMGA1;1,147391;0,1730596;1,112242;0,06412094;Vicino al REPLICOMA;Nucleus;0,035149;0,058019714;;
Q07666;KHDRBS1;0,6785936;0,005233161;0,7559649;0,005734312;Vicino all'ER;Nucleus;0,0773713;0,187128645;;
M0R2Z9;SUGP2;0,8041418;0,0148622;0,8814026;0,01387406;Vicino all'ER;Nucleus;0,0772608;0,186790754;;
Q9Y3E1;HDGFL3;0,9804673;0,06039083;1,057476;0,04587709;Vicino all'ER;Nucleus;0,0770087;0,186019873;;
P17096;HMGA1;0,8349826;0,01911402;0,8283702;0,009493988;Vicino al REPLICOMA;PM;0,0066124;-0,029240571;;
Q09161;NCBP1;0,7523317;0,009674221;0,8291607;0,009550449;Vicino all'ER;Nucleus;0,076829;0,185470379;;
P52926;HMGA2;0,7966073;0,01386345;0,7924008;0,007609954;Vicino al REPLICOMA;Nucleus;0,0042065;-0,036597422;;
Q9NZJ7;MTCH1;0,6332358;0,003087092;0,7099483;0,003952922;Vicino all'ER;Mitochondria;0,0767125;0,185114141;;
A0A0G2JK44;BRD2;1,157481;0,1823608;1,234188;0,126875;Vicino all'ER;Nucleus;0,076707;0,185097323;;
H7C4T5;MBNL1;0,8287005;0,01788546;0,9053899;0,01630686;Vicino all'ER;Nucleus;0,0766894;0,185043505;;
P60602;ROMO1;0,9015343;0,03249689;0,9782051;0,02808794;Vicino all'ER;ER;0,0766708;0,18498663;;
