T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
BBS9,protein-complex,-1.5774,0.423603,-1.56263,-0.940307,-2.20229,-2.44212,-2.11548,-1.08248,-3.96911,-3.10034,-1.25316,-0.910963,Q3SYG4;F8WCG5;Q3SYG4-2;Q3SYG4-3;Q3SYG4-4;Q3SYG4-5;Q3SYG4-6;Q3SYG4-7;A0A5F9ZH14;A0A5F9ZH37;A0A5F9ZH74;A0A5F9ZHP5;A0A5F9ZGX9;A0A5F9ZGY2;A0A5F9ZHE7,PTHB1_HUMAN,Q3SYG4;Q3SYG4-2;Q3SYG4-3;Q3SYG4-4;Q3SYG4-6;Q3SYG4-7,Protein PTHB1
TUBB8,Cytoplasm,-2.26566,-1.24128,-2.0276,-1.20121,1.39263,-1.74897,-1.79699,-1.95446,-2.99095,-2.04178,-2.31167,-1.51402,Q3ZCM7;A0A075B736;Q5SQY0,TBB8_HUMAN,Q3ZCM7,Tubulin beta-8 chain
PARP14,ER,-1.4348,-1.13329,-1.525,0.428487,-2.3151,-2.00286,-1.13291,-2.48808,-4.43778,-3.22327,-1.2251,-0.943097,Q460N5;Q460N5-1;Q460N5-3;Q460N5-5,PAR14_HUMAN,Q460N5;Q460N5-1,Protein mono-ADP-ribosyltransferase PARP14
PARP14,ER,-1.3586,-1.44142,-1.95897,0.138061,-2.02027,-2.22533,-1.34479,-1.2228,-4.6956,-3.12232,-1.24052,-1.08158,Q460N5;H7C5R8;Q460N5-1;Q460N5-3;Q460N5-4;Q460N5-5,PAR14_HUMAN,Q460N5;Q460N5-1;Q460N5-4,Protein mono-ADP-ribosyltransferase PARP14
FUT11,protein-complex,-1.94466,0.245483,-0.650275,-0.217507,-2.04713,-1.8431,-2.31879,-2.43116,-3.84859,-2.50089,-0.741059,-0.264908,Q495W5;Q495W5-2,FUT11_HUMAN,Q495W5,"Alpha-(1,3)-fucosyltransferase 11"
CERKL,Cytoplasm,-1.97863,-1.40289,-2.06667,-1.29452,1.23175,-0.975697,-1.68103,-2.36899,-3.00648,-2.00883,-2.02596,-1.58039,Q49MI3;Q49MI3-2;Q49MI3-3;Q49MI3-4;Q49MI3-5;Q49MI3-9;A0A804HIX5;G0XYE7,CERKL_HUMAN,Q49MI3;Q49MI3-2;Q49MI3-3;Q49MI3-4;Q49MI3-9,Ceramide kinase-like protein
VPS26B,PM,-0.61897,-0.402218,0.0190317,-2.29108,-1.24089,-1.69564,-1.82775,-1.71322,-2.75238,-3.30046,-1.34192,-1.10763,Q4G0F5,VP26B_HUMAN,Q4G0F5,Vacuolar protein sorting-associated protein 26B
PREPL,Cytoplasm,-1.99644,-1.25095,-2.17466,-1.4017,1.0632,-2.49218,-1.3378,-2.92212,-3.14159,-2.02336,-2.06657,-1.39721,Q4J6C6;Q4J6C6-2;Q4J6C6-3;Q4J6C6-4,PPCEL_HUMAN,Q4J6C6;Q4J6C6-4,Prolyl endopeptidase-like
ANO6,PM,-1.1389,-3.01796,1.01887,-1.45747,-1.75041,-2.03322,-1.38897,-1.94691,-3.56862,-3.23618,-1.1208,-1.07675,Q4KMQ2;A0A7P0T8Y2;A0A7P0TAW4;A0A7P0TBC5;A0A7P0TBD5;A0A7P0TBI1;A0A7P0TAF4;Q4KMQ2-2;Q4KMQ2-3;Q4KMQ2-4,ANO6_HUMAN,Q4KMQ2;Q4KMQ2-2;Q4KMQ2-3,Anoctamin-6
PLCH1,ER,-2.66555,-2.50176,-1.78445,1.02731,-1.47297,-0.643433,-3.02779,-2.18277,-2.4197,-1.87502,-1.4683,-1.19095,Q4KWH8;Q4KWH8-2;Q4KWH8-3;Q4KWH8-4;A0A2U3TZV8,PLCH1_HUMAN,Q4KWH8;Q4KWH8-2;Q4KWH8-3;Q4KWH8-4,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1"
FILIP1L,Nucleus,-2.42957,-1.31767,-1.14704,-0.416584,-1.41597,-2.38104,0.0311422,-1.90175,-4.25283,-2.43294,-1.98052,-1.26029,Q4L180;Q4L180-2;Q4L180-3;Q4L180-5;Q4L180-6;Q4L180-7;H7C4M0,FIL1L_HUMAN,Q4L180;Q4L180-2,Filamin A-interacting protein 1-like
SVEP1,ER,-2.52897,-1.60873,-0.844209,0.659076,-1.21409,-2.09567,-1.68364,-1.93007,-4.03469,-2.41834,-1.73274,-1.18492,Q4LDE5;Q4LDE5-2;Q4LDE5-4,SVEP1_HUMAN,Q4LDE5,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1"
GRIPAP1,Cytoplasm,-1.31021,-1.13601,-1.69236,-2.30665,1.02351,-1.6578,-2.21017,-2.47154,-3.41371,-2.09028,-2.097,-1.55037,Q4V328;Q4V328-2;A0A087WT45,GRAP1_HUMAN,Q4V328,GRIP1-associated protein 1
PAN2,Translation,-1.20435,-1.53548,-2.48381,-1.73945,-1.8291,-1.02269,0.0883299,0.121907,-3.4468,-1.89264,-1.64392,-1.84036,Q504Q3;Q504Q3-2;Q504Q3-3,PAN2_HUMAN,Q504Q3;Q504Q3-2;Q504Q3-3,PAN2-PAN3 deadenylation complex catalytic subunit PAN2
PDCD4,Translation,-1.26242,-0.786964,-3.14391,-2.2417,-0.845687,-1.68654,-1.57346,0.512098,-3.15886,-2.11495,-1.27791,-1.72188,Q53EL6;Q53EL6-2;Q5VZS7,PDCD4_HUMAN,Q53EL6;Q53EL6-2,Programmed cell death protein 4
TP53I3,Cytoplasm,-1.88922,-1.50197,-1.90697,-1.36605,1.61419,-1.37102,-1.724,-1.83362,-2.9399,-2.06366,-2.02133,-1.7024,Q53FA7;H7BZH6;Q53FA7-2,QORX_HUMAN,Q53FA7,Quinone oxidoreductase PIG3
HIKESHI,Cytoplasm,-2.13455,-0.253909,-1.74434,-1.97941,0.464188,-1.61699,-1.11391,-2.34171,-3.46191,-2.09348,-2.22803,-1.39138,Q53FT3;E9PPG8,HIKES_HUMAN,Q53FT3,Protein Hikeshi
KLHL12,protein-complex,-0.924624,0.0870302,-4.15402,-0.885157,-1.7216,-1.79678,-1.08568,-3.12791,-3.23443,-2.40701,-1.28084,-1.0362,Q53G59;Q53G59-2;J3QSX3,KLH12_HUMAN,Q53G59;Q53G59-2,Kelch-like protein 12
PLEKHO1,PM,-0.953281,-1.87173,1.20236,-1.89704,-1.91368,-1.8281,-1.67939,-2.18747,-3.91814,-3.53358,-1.21476,-1.06756,Q53GL0;Q53GL0-2,PKHO1_HUMAN,Q53GL0;Q53GL0-2,Pleckstrin homology domain-containing family O member 1
SETMAR,Mitochondria,-1.12597,-3.12277,-2.87222,-1.31554,-1.41296,1.03677,-0.555815,-2.00476,-3.44119,-2.37736,-1.75111,-0.845668,Q53H47;Q53H47-2,SETMR_HUMAN,Q53H47,Histone-lysine N-methyltransferase SETMAR
LACTB2,Cytoplasm,-1.93325,-1.72327,-1.82811,-1.0026,0.424918,-0.194036,-1.92022,-2.25461,-2.99149,-2.11127,-1.57599,-1.61355,Q53H82,LACB2_HUMAN,Q53H82,Endoribonuclease LACTB2
PYCR3,Cytoplasm,-1.87613,-1.9783,-2.00172,-1.63025,1.82613,-1.37415,-1.45762,-2.41341,-2.92173,-2.01366,-1.9692,-1.64777,Q53H96;A0A0A0MQS1,P5CR3_HUMAN,Q53H96,Pyrroline-5-carboxylate reductase 3
CCDC92,Translation,-1.47241,-2.1333,-3.22881,-2.0829,-1.20353,-2.00217,-1.48546,1.82767,-2.85153,-2.02102,-1.37694,-1.86374,Q53HC0;Q53HC0-2;F5H7P8;F5H2Z7;F5H285,CCD92_HUMAN,Q53HC0-2,"Isoform of Q53HC0, Isoform 2 of Coiled-coil domain-containing protein 92"
HS1BP3,Cytoplasm,-2.01875,-1.38036,-1.93276,-1.5779,1.60387,-1.26089,-2.00796,-2.18937,-3.02524,-2.04965,-2.15173,-1.64163,Q53T59;B5MC96;F6TR53,H1BP3_HUMAN,Q53T59,HCLS1-binding protein 3
ACTBL2,Cytoplasm,-0.946654,-0.833349,-1.20982,-2.31222,0.157432,-1.29782,-2.18405,-2.07095,-3.55792,-2.44483,-1.55114,-0.837605,Q562R1,ACTBL_HUMAN,Q562R1,Beta-actin-like protein 2
PRR16,ER,-2.28699,-1.42915,-1.45054,0.70513,-2.32527,-0.6118,-1.31719,-2.34877,-4.76129,-3.22425,-1.60981,-1.16206,Q569H4;D6RGF0;A0A0A0MSW7;Q569H4-2;Q569H4-3,LARGN_HUMAN,Q569H4,Protein Largen
NAALADL2,PM,-1.1285,-3.14966,0.529163,-1.21337,-1.68197,-2.2292,-1.37623,-1.84642,-2.81182,-2.4387,-1.17498,-1.0007,Q58DX5,NADL2_HUMAN,Q58DX5,Inactive N-acetylated-alpha-linked acidic dipeptidase-like protein 2
HSP90AB4P,Cytoplasm,-1.32948,-0.957334,-2.16338,-1.79659,0.824471,-2.09325,-1.60784,-2.79618,-3.12758,-2.00872,-2.07995,-1.70796,Q58FF6,H90B4_HUMAN,Q58FF6,Putative heat shock protein HSP 90-beta 4
HSP90AB2P,Cytoplasm,-1.9562,-1.22831,-2.0561,-1.10567,1.25243,-1.85458,-1.63539,-2.35996,-2.989,-2.0066,-2.05752,-1.61511,Q58FF8,H90B2_HUMAN,Q58FF8,Putative heat shock protein HSP 90-beta 2
TMEM41B,PM,-1.01687,-1.55798,0.2199,-1.60589,-0.432802,-2.05638,-1.42101,-2.32775,-2.70091,-2.1477,-1.40925,-1.01693,Q5BJD5;E9PJ42;Q5BJD5-2;Q5BJD5-3,TM41B_HUMAN,Q5BJD5;Q5BJD5-2;Q5BJD5-3,Transmembrane protein 41B
RILPL1,Cytoplasm,-1.75734,-0.552048,-2.03209,-1.28271,1.02473,-1.70179,-2.05782,-3.11749,-3.02253,-2.04316,-1.56534,-1.81515,A0A1B0GVV3;Q5EBL4-2,RIPL1_HUMAN,Q5EBL4-2,"Isoform of Q5EBL4, Isoform 2 of RILP-like protein 1"
PDZD11,Translation,-1.52567,-1.222,-2.52295,-2.02173,-0.864281,-1.89267,-1.25725,0.529696,-3.23367,-1.9582,-0.985471,-1.83531,Q5EBL8;Q5EBL8-2,PDZ11_HUMAN,Q5EBL8,PDZ domain-containing protein 11
CARD16,Cytoplasm,-1.91015,-1.77082,-1.95557,-1.31752,1.60027,-1.25119,-1.60688,-2.13186,-2.94931,-2.04156,-2.03594,-1.60166,Q5EG05;Q5EG05-2;A0A8I5KS59,CAR16_HUMAN,Q5EG05;Q5EG05-2,Caspase recruitment domain-containing protein 16
PIGG,ER,-0.835743,-1.48841,-3.85151,1.55736,-1.66087,-1.49207,-1.51122,-1.50364,-3.68341,-2.92517,-1.29197,-1.11591,Q5H8A4;E7EWV1;D6RFE8;D6R9J9;E7EM50;Q5H8A4-2;Q5H8A4-4;Q5H8A4-5;Q5H8A4-6,PIGG_HUMAN,Q5H8A4;Q5H8A4-2,GPI ethanolamine phosphate transferase 2
WDR44,Cytoplasm,-2.23584,-1.60859,-1.96508,-1.49713,1.52209,-2.08006,-1.1683,-2.6642,-3.11771,-2.01944,-2.13149,-1.20284,Q5JSH3;H7BY83;Q5JSH3-2;Q5JSH3-3;Q5JSH3-4,WDR44_HUMAN,Q5JSH3;Q5JSH3-2,WD repeat-containing protein 44
DOCK11;DOCK9,Golgi apparatus,-0.889802,-2.21308,-1.81792,-2.98905,-1.20499,-1.3511,-0.479785,-1.17002,-5.07827,-2.71386,0.789177,-1.2515,Q9BZ29;Q5JSL3;Q9BZ29-3;Q9BZ29-4;Q9BZ29-5;Q5JUD8;H0Y3S1;A6NIW2;A0A0J9YW64;A0A804HIE8;H7BZ79;X6RGR3;A0A8V8TRI9;A0A8V8TQS9;A0A8V8TR95;A0A088AWN3,DOC11_HUMAN;DOCK9_HUMAN,Q5JSL3;Q9BZ29;Q9BZ29-3;Q9BZ29-4,Dedicator of cytokinesis protein 11
TJAP1,Cytoplasm,-1.0468,-1.45317,-1.52259,-2.65033,0.419831,-1.52124,-1.11815,-2.14525,-3.72837,-2.14294,-2.06271,-1.40437,Q5JTD0;H0Y4D6;Q5JTD0-2;Q5JTD0-4;E2QRK7,TJAP1_HUMAN,Q5JTD0;Q5JTD0-2,Tight junction-associated protein 1
TOR2A,ER,-1.97501,-2.02452,-1.53107,0.774229,-0.809193,-1.41417,-2.02233,-2.31865,-3.13772,-3.5569,-1.71772,-1.04843,Q5JU69,TOR2A_HUMAN,Q5JU69,Torsin-2A
TOR2A,ER,-1.10374,-2.4858,-1.06562,0.388998,-1.09844,-1.53766,-1.67494,-1.99757,-2.04962,-3.49474,-1.56795,-0.994155,Q5JU69;Q5JU69-2;Q8N2E6,TOR2A_HUMAN;TOR2X_HUMAN,Q5JU69;Q8N2E6,Torsin-2A
IQSEC1;IQSEC2,Nucleus,-1.5472,-0.709009,-2.56463,-2.72461,-0.18901,-0.946578,0.0267357,-2.83766,-3.27617,-1.95325,-1.87857,-1.74376,Q6DN90;Q5JU85;A0A2R8Y7T6;A0A2R8Y695;A0A6Q8PFR7;Q5JU85-3;A0A1W2PR28;A0A1W2PRJ5;Q6DN90-2;Q6DN90-3;A0A3B3IRZ4;A0A3B3IU98;A0A0C4DGT3,IQEC1_HUMAN;IQEC2_HUMAN,Q5JU85;Q5JU85-3;Q6DN90;Q6DN90-3,IQ motif and SEC7 domain-containing protein 2
PCID2,Cytoplasm,-1.33186,-1.09842,-2.15377,-2.1839,0.281539,-1.02947,-1.25516,-1.79042,-3.47029,-2.42403,-1.67435,-1.20083,Q5JVF3;Q5JVF3-2;Q5JVF3-3;Q5JVF3-4,PCID2_HUMAN,Q5JVF3;Q5JVF3-3,PCI domain-containing protein 2
HABP4,ER,-2.39429,-1.70555,-1.08162,0.104733,-1.55642,-1.68101,-0.634676,-1.95072,-3.54877,-2.31234,-1.90843,-1.16261,Q5JVS0;Q5JVS0-2,HABP4_HUMAN,Q5JVS0,Intracellular hyaluronan-binding protein 4
KIAA1755,Cytoplasm,-1.60341,-2.02335,-1.95819,-0.472745,0.734003,-1.60754,-1.07968,-2.11944,-2.48574,-2.47538,-0.732137,-1.28956,Q5JYT7;A0A087X0C1;A0A087WWV7,K1755_HUMAN,Q5JYT7,Uncharacterized protein KIAA1755
SAMD9,Translation,-1.1624,-0.694,-0.243735,-1.13639,-1.78483,-2.1096,-1.99367,0.286096,-2.96667,-3.24751,-0.818776,-1.05529,Q5K651,SAMD9_HUMAN,Q5K651,Sterile alpha motif domain-containing protein 9
SPECC1,ER,-2.14469,-1.23963,-1.3915,0.448552,-0.992719,-2.02573,-1.51454,-1.52463,-3.92446,-3.26245,-1.75145,-1.11929,Q5M775;J3KRB9;J3KSG2;A0A7P0TB87;A0A7P0TBP2;Q5M775-4;A0A7P0Z4I1;A0A7I2YQJ3;A0A7I2V416;A0A7I2V451;A0A7I2V486;A0A7I2V562,CYTSB_HUMAN,Q5M775;Q5M775-4,Cytospin-B
WIPI1,Cytoplasm,-1.30898,-0.646556,-1.93089,-2.30136,0.151482,-1.89581,-0.780418,-2.65295,-3.01466,-2.01043,-1.54527,-1.78689,Q5MNZ9;G5EA37;K7ELY0;Q5MNZ9-2,WIPI1_HUMAN,Q5MNZ9;Q5MNZ9-2,WD repeat domain phosphoinositide-interacting protein 1
SAMD4B,Translation,-1.31268,-2.5705,-3.80836,-3.15153,-1.19439,-2.47036,-0.829947,0.965236,-3.47866,-2.21114,-1.44492,-0.96164,Q5PRF9;M0R0X3;M0QY61;M0QZ22,SMAG2_HUMAN,Q5PRF9,Protein Smaug homolog 2
SAMD4A;SAMD4B,Translation,-1.08828,-2.37807,-3.8373,-2.79945,-1.66121,-2.11762,-1.29527,1.28597,-3.60376,-2.31669,-1.45323,-1.23478,Q9UPU9;Q5PRF9;M0R0X3;Q9UPU9-3;M0QY61;M0QZ22,SMAG1_HUMAN;SMAG2_HUMAN,Q5PRF9;Q9UPU9,Protein Smaug homolog 2
TBCEL,Cytoplasm,-2.18389,-1.629,-1.95774,-0.937612,0.991835,-0.941498,-1.65171,-2.0373,-2.99665,-2.03721,-1.9083,-1.59523,Q5QJ74;E9PP54,TBCEL_HUMAN,Q5QJ74,Tubulin-specific chaperone cofactor E-like protein
RABGAP1;RABGAP1L,Cytoplasm,-2.29815,-1.03735,-1.91671,-1.49326,1.42782,-1.81217,-1.74181,-3.17408,-3.41437,-2.12312,-1.2865,-1.86777,Q9Y3P9;A0A0U1RQV7;B7ZAP0;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8;A0A804HKD7;E9PS63;F5H8L0,RBG1L_HUMAN;RBGP1_HUMAN,Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8;Q9Y3P9,"Isoform of Q5R372, Isoform 5 of Rab GTPase-activating protein 1-like"
RABGAP1L,Cytoplasm,-2.02951,-1.27038,-1.77858,-1.52405,1.12224,-2.22519,-1.09277,-2.80657,-3.15338,-2.01943,-1.70522,-1.84729,Q5R372;A0A0U1RRM5;Q5R372-2;Q5R372-3;Q5R372-4;A0A804HKD7;A0A0C4DG54,RBG1L_HUMAN,Q5R372;Q5R372-3;Q5R372-4,Rab GTPase-activating protein 1-like
RABGAP1L,Cytoplasm,-2.27316,-1.32014,-1.63217,-1.24963,0.956362,-1.96462,-1.31197,-3.1666,-3.25934,-2.06153,-1.39562,-1.90721,Q5R372;A0A0U1RQT5;Q5R372-3;Q5R372-4;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8;A0A804HKD7;E9PNV2,RBG1L_HUMAN,Q5R372;Q5R372-3;Q5R372-4;Q5R372-5;Q5R372-6;Q5R372-7;Q5R372-8,Rab GTPase-activating protein 1-like
ZNG1A;ZNG1B;ZNG1E,Cytoplasm,-1.69161,-1.72262,-2.35265,-1.80548,1.52847,-1.72165,-1.41199,-2.87161,-3.17561,-2.01657,-2.10298,-1.56692,Q8IUF1;Q5RIA9;Q9BRT8;Q4V339;Q5JTY5;C9J3G2;Q9BRT8-2;Q9BRT8-3;H0Y857;H0Y5V3;A0A0A0MRU4;Q5RIB0;Q5RIB3;Q5JTY5-2;A0A0A6YYH9;A0A0B4J2F1;Q5RIA9-2;Q5RIA9-3;A0A087X140;A0A087WWG3,ZNG1A_HUMAN;ZNG1B_HUMAN;ZNG1E_HUMAN,Q5RIA9-2;Q8IUF1;Q9BRT8,"Isoform of Q5RIA9, Isoform 2 of Zinc-regulated GTPase metalloprotein activator 1E"
TPRG1L,Translation,-1.09767,-1.73043,-4.82357,-1.54358,-1.79437,-2.10917,-1.15299,1.41342,-3.78528,-2.25946,-1.08908,-1.33525,Q5T0D9,TPRGL_HUMAN,Q5T0D9,Tumor protein p63-regulated gene 1-like protein
CC2D1B,Cytoplasm,-0.964365,-0.979739,-1.5445,-2.46659,1.24217,-1.67348,-1.38521,-2.79916,-2.77101,-2.06628,-1.69527,-1.74592,Q5T0F9;H0Y517;H7C1U3;Q5T0F9-2;Q5T0F9-3,C2D1B_HUMAN,Q5T0F9-2,"Isoform of Q5T0F9, Isoform 2 of Coiled-coil and C2 domain-containing protein 1B"
ZC3H13,Nucleus,-1.11118,-2.76699,-1.84736,-1.75997,-0.415082,-0.843142,0.244202,-2.50303,-3.90043,-2.7158,-0.921199,-1.48923,Q5T200;Q5T200-2;A0A087WX14;A0A7I2V4I5,ZC3HD_HUMAN,Q5T200,Zinc finger CCCH domain-containing protein 13
HECTD3,protein-complex,-1.68009,1.34562,-2.35492,-2.04043,-2.04366,-1.09639,-0.622066,-3.22668,-3.06882,-1.97987,-1.66482,-1.8902,Q5T447;Q5T447-2,HECD3_HUMAN,Q5T447,E3 ubiquitin-protein ligase HECTD3
CERCAM,ER,-2.72517,-1.36882,-1.10615,0.470598,-0.991352,-1.47575,-1.7242,-1.70188,-3.8079,-2.24088,-2.30873,-1.54175,Q5T4B2;Q5T4B2-2;X6RL83,GT253_HUMAN,Q5T4B2,Inactive glycosyltransferase 25 family member 3
STXBP5,PM,-0.83018,-1.89098,0.432226,-2.36942,-1.4277,-1.76616,-1.4578,-1.93004,-4.2162,-3.39241,-0.931065,-1.17147,Q5T5C0;Q5JRH0;Q5T5C0-2;Q5T5C0-3,STXB5_HUMAN,Q5T5C0;Q5T5C0-2,Syntaxin-binding protein 5
KCNK1,Translation,-1.25567,-2.45764,-3.2605,-1.74933,-1.37147,-0.534297,-1.54774,0.875,-3.76701,-2.24783,-1.47564,-1.54281,Q5T5E6,Q5T5E6_HUMAN,Q5T5E6,"Isoform of O00180, Potassium channel subfamily K member 1 (Fragment)"
ARHGAP21,ER,-2.42621,-1.89419,-1.08869,0.616334,-0.625399,-2.37586,-1.88561,-1.90433,-3.91541,-2.69793,-1.66302,-1.35,Q5T5U3;A0A805TBS0;A0A7P0TAS2;A0A087WW76,RHG21_HUMAN,Q5T5U3,Rho GTPase-activating protein 21
KPRP,Cytoplasm,-1.86775,-1.62287,-2.01503,-1.41606,1.05953,-1.52149,-0.916927,-2.50044,-3.39073,-2.21492,-0.951929,-1.56617,Q5T749,KPRP_HUMAN,Q5T749,Keratinocyte proline-rich protein
DIPK1A,Golgi apparatus,-1.47538,-1.7244,-2.21545,-1.19239,-0.591781,-1.37892,-1.12827,-0.0691838,-3.67907,-1.65367,0.239444,-1.65038,Q5T7M9;A0A087X2C2;A0A087WZ97;A0A087WZK6,DIK1A_HUMAN,Q5T7M9,Divergent protein kinase domain 1A
ACBD5,Mitochondria,-2.24855,-3.02516,-2.3292,-1.02731,-1.58071,0.36886,-1.80071,-1.94425,-3.08253,-0.748682,-1.47341,-1.2327,Q5T8D3;B7Z2R7;Q5T8E0;X6RDD7;Q5T8D3-3;Q5T8D3-2;A0A7I2YQD7;A0A7I2YQE9;A0A7I2YQJ9;A0A7I2V2M2;A0A7I2V2Y9;A0A7I2V347;A0A7I2V420;A0A7I2V462;A0A7I2V556;A0A7I2V560;A0A7I2V5E1;A0A7I2V5U2;A0A7I2V690,ACBD5_HUMAN,Q5T8D3-2;Q5T8D3-3,"Isoform of Q5T8D3, Isoform 2 of Acyl-CoA-binding domain-containing protein 5"
INTS11,Mitochondria,-1.67173,-1.43964,-1.81717,-2.91356,-0.698338,1.51426,-0.583493,-1.87563,-4.19395,-2.40978,-2.39279,-1.531,Q5TA45;C9IYS7;C9J979;Q5TA45-2;Q5TA45-3;Q5TA45-4;Q5TA45-5;J3QRY6;A0A087WYI0,INT11_HUMAN,Q5TA45;Q5TA45-3;Q5TA45-4;Q5TA45-5,Integrator complex subunit 11
DCAF8,protein-complex,-1.98447,0.328151,-2.10465,-1.43713,-0.811661,-1.1949,-1.23095,-2.35596,-2.94802,-2.02052,-1.64284,-1.79188,Q5TAQ9;Q5TAQ8;Q5TAQ9-2;V9GY54,DCAF8_HUMAN,Q5TAQ9,DDB1- and CUL4-associated factor 8
TUT4,Translation,-1.44752,-2.84568,-2.35883,-1.86033,-1.12309,-0.912101,-0.662701,1.29373,-3.42296,-1.73841,-1.36504,-1.75722,Q5TAX3;X6R5G7;Q5TAX3-2;E9PRG2;E9PKY2;A0A0C4DFM7,TUT4_HUMAN,Q5TAX3,Terminal uridylyltransferase 4
TM9SF3,Golgi apparatus,-2.08446,-2.73318,-1.5657,-2.58571,-2.15745,-1.27368,-1.47081,-1.64287,-1.61644,-1.93569,1.72084,-1.51656,Q5TB53,Q5TB53_HUMAN,Q5TB53,"Isoform of Q9HD45, Transmembrane 9 superfamily member (Fragment)"
RC3H1,Translation,-1.11174,-1.61885,-1.06256,-2.67471,-1.65337,-1.78066,-1.45006,0.362146,-2.11752,-2.71968,-0.724032,-1.18169,Q5TC82;Q5TC82-2,RC3H1_HUMAN,Q5TC82;Q5TC82-2,Roquin-1
RC3H1;RC3H2,Translation,-1.11174,-1.61885,-1.06256,-2.67471,-1.65337,-1.78066,-1.45006,0.362146,-2.11752,-2.71968,-0.724032,-1.18169,Q9HBD1;Q5TC82;Q5TC82-2;A6NHN2;Q9HBD1-2;Q9HBD1-3;Q9HBD1-4;Q9HBD1-6,RC3H1_HUMAN;RC3H2_HUMAN,Q5TC82;Q5TC82-2;Q9HBD1-2;Q9HBD1-6,Roquin-1
SH3PXD2A,Translation,-1.49972,-2.8404,-4.38067,-2.2016,-0.550498,-1.94602,-1.50069,1.57624,-3.54546,-1.92992,-1.08429,-1.52449,Q5TCZ1;Q5TCZ1-2;Q5TCZ1-3,SPD2A_HUMAN,Q5TCZ1,SH3 and PX domain-containing protein 2A
H3-7,Nucleus,-2.27627,-1.341,-1.8943,-3.16088,-1.69439,-2.29214,1.47109,-1.05333,-4.29094,-2.3243,-1.83717,-1.60427,P84243;Q5TEC6;Q71DI3;P68431;Q16695;Q6NXT2;B4DEB1;A0A590UJJ6;K7EK07;K7EMV3;K7EP01;K7ES00,H37_HUMAN,Q5TEC6,Histone H3-7
NT5DC1,Cytoplasm,-2.06054,-1.76905,-2.13961,-1.69492,1.27552,0.00471207,-2.34139,-2.65419,-3.13529,-2.06688,-1.8303,-1.45922,Q5TFE4;Q5TFE4-2;Q5QPD0,NT5D1_HUMAN,Q5TFE4,5'-nucleotidase domain-containing protein 1
CROCC,Cytoplasm,-1.35104,-2.07305,-1.60538,-1.46476,1.53585,-1.29914,-1.74909,-2.33647,-3.28455,-2.02237,-1.60674,-1.53546,Q5TZA2;Q5TZA2-2,CROCC_HUMAN,Q5TZA2,Rootletin
STRIP1,Nucleus,-1.64229,-0.774873,-2.71936,-2.02434,-0.730933,-0.592675,0.126012,-2.8384,-3.13628,-1.99088,-1.71425,-1.70281,Q5VSL9;Q9ULQ0;Q9ULQ0-2;Q5VSL9-2,STRP1_HUMAN,Q5VSL9,Striatin-interacting protein 1
STRIP1,Nucleus,-1.24509,-1.71744,-2.86766,-2.3293,-0.5633,-0.88929,0.533217,-2.36475,-3.08534,-2.02346,-1.70139,-1.75979,Q5VSL9;Q5VSL9-2;Q5VSL9-3,STRP1_HUMAN,Q5VSL9;Q5VSL9-3,Striatin-interacting protein 1
ANGEL2,Mitochondria,-1.92009,-2.10878,-1.57287,-0.578527,-1.47419,0.854474,-1.59801,-2.01407,-5.65382,-1.61913,-1.20904,-1.32271,Q5VTE6;Q5VTE6-2,ANGE2_HUMAN,Q5VTE6-2,"Isoform of Q5VTE6, Isoform 2 of Protein angel homolog 2"
PRPF38B,Mitochondria,-2.12036,-1.50919,-1.69803,-2.7886,-1.38449,0.312532,0.210526,-1.96963,-4.63614,-2.46568,-1.5169,-1.3013,Q5VTL8;Q5VTL8-2,PR38B_HUMAN,Q5VTL8,Pre-mRNA-splicing factor 38B
RNF20,Nucleus,-0.872331,-1.34539,-2.26399,-2.45678,-1.14553,-1.76072,0.160909,-1.14717,-3.69726,-2.05673,-2.22647,-1.58438,Q5VTR2,BRE1A_HUMAN,Q5VTR2,E3 ubiquitin-protein ligase BRE1A
PDE4DIP,Nucleus,-1.42531,-0.401793,-2.50399,-1.7177,-1.03081,-1.26971,0.102105,-2.50467,-3.1293,-1.97382,-1.40327,-1.53297,Q5VU43;Q5VU43-2;Q5VU43-3;Q5VU43-4;Q5VU43-6;Q5VU43-7;A0A075B749;Q5VU43-13;E9PQG4;A0A8Q3WM32;A0A8Q3SI83;A0A8Q3SI21;A0A087WX83,MYOME_HUMAN,Q5VU43;Q5VU43-13;Q5VU43-2;Q5VU43-4,Myomegalin
LRCH2,Translation,-1.31825,-1.65323,-4.14599,-0.312499,-2.22916,-2.50832,-1.17554,0.684159,-4.42316,-2.71225,-1.31073,-0.721441,Q5VUJ6;Q5VUJ6-2,LRCH2_HUMAN,Q5VUJ6;Q5VUJ6-2,Leucine-rich repeat and calponin homology domain-containing protein 2
