T: T: Genes,C: Winner MOCK,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
EIF3B,Translation,-1.23595,-2.04394,-4.54209,-1.72073,-1.69227,-2.06254,-1.31583,1.64326,-3.8132,-2.24349,-1.12632,-1.27751,P55884;P55884-2;C9JZG1;C9JQN7,EIF3B_HUMAN,P55884;P55884-2,Eukaryotic translation initiation factor 3 subunit B
LSM14B,Translation,-1.27357,-1.98505,-4.18868,-1.67422,-1.6529,-1.82847,-1.3016,1.49509,-3.59956,-2.15539,-1.01715,-1.40752,Q9BX40;Q5TBQ0;Q5TBQ1;Q9BX40-2;A0A0C4DFV2,LS14B_HUMAN,Q9BX40,Protein LSM14 homolog B
EIF3F,Translation,-1.10034,-1.68062,-4.27546,-1.54693,-1.87544,-1.81954,-1.25483,1.59919,-3.73226,-2.34704,-1.11597,-1.38633,O00303;H0YDT6,EIF3F_HUMAN,O00303,Eukaryotic translation initiation factor 3 subunit F
EEF2,Cytoplasm,-0.968415,-2.92822,-2.4793,-2.06825,1.32476,-1.15473,-0.622949,-0.723048,-2.587,-2.00744,-1.52211,-1.88044,P13639,EF2_HUMAN,P13639,Elongation factor 2
NACA,Cytoplasm,-1.5137,-1.52879,-3.02626,-2.53325,1.08766,-1.51091,-1.61071,-1.9745,-3.23691,-2.06673,-1.98259,-1.97856,E9PAV3;H0YHX9;F8VZJ2;F8W0W4;F8VNW4;E9PAV3-2;Q13765;A0A7I2V2K5;A0A7I2V473,NACAM_HUMAN,E9PAV3,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form"
LAMTOR5,endosome-vesicle,0.00769007,-0.628094,-1.90888,-1.59778,-1.21788,-1.52441,-1.39452,-2.2262,-4.21131,-2.27457,-1.46623,-1.30519,O43504;R4GMU8;A0A8Z5A536;E9PLX3,LTOR5_HUMAN,O43504,Ragulator complex protein LAMTOR5
FUCA2,ER,-1.80548,-3.39756,-2.36786,1.19245,-1.33052,-1.78886,-1.59999,-1.35576,-1.51221,-1.96881,-1.66426,-1.27813,Q9BTY2;Q7Z6V2,FUCO2_HUMAN,Q9BTY2,Plasma alpha-L-fucosidase
PPT1,Golgi apparatus,-0.957813,-1.83229,-2.88465,-1.54613,-1.96322,-1.63809,-1.46699,-1.97333,-0.396206,-2.35331,0.56889,-1.3242,P50897;P50897-2;A0A286YFL6;A0A286YFL8;A0A286YFF7;A0A286YFE3;Q5T0S4;A0A2C9F2P4,PPT1_HUMAN,P50897;P50897-2,Palmitoyl-protein thioesterase 1
PPT1,Golgi apparatus,-1.05613,-1.85142,-2.85942,-1.63082,-1.93936,-1.59895,-1.47043,-1.93152,-0.555122,-2.3935,0.799746,-1.35187,P50897;A0A286YFL8;A0A286YFF7;A0A286YFE3;Q5T0S4;E9PK48;A0A2C9F2P4,PPT1_HUMAN,P50897,Palmitoyl-protein thioesterase 1
GLA,Golgi apparatus,-1.79589,-3.06517,-1.53828,-2.04706,-2.07941,-1.28276,-1.20187,-1.78229,-1.21384,-1.69581,0.038193,-1.35192,P06280;A0A6Q8PFA9;A0A6Q8PGG0;A0A3B3IUC4,AGAL_HUMAN,P06280,Alpha-galactosidase A
