WELL NAME;INFECTION 1;INFECTION 2;INFECTION 3;INFECTION 4;REINFECTION 1;REINFECTION 2;REINFECTION 3;REINFECTION 4;REINFECTION 5;REINFECTION 6
G9- VPS45;1,87;1,14;0,79;1,37;0,02;0,53;0,18;1,26;0,12;1,68
G10- WLS;0,27;1,07;0,87;1,19;1,07;0,37;0,07;0,96;0,19;0,26
G11- NT;1;0,23;1,15;1,4;1,84;0,21;0,82;1,49;0,26;0,13
G12- ACE2 (esterno);0,11;0,03;0,22;0,17;0,01;0,02;0,01;0,14;0,13;0,03
H1- inf;1,28;0,87;0,87;0,31;1,05;0,73;0,59;1,21;1,31;1,95
H2- PLK;0,88;0,72;0,68;0,81;2,12;1,02;0,58;1,61;1,55;1,63
H3- PLK;1,64;1,09;0,48;0,48;2,42;1,42;1,21;0,37;2,36;1,86
H4- PLK;1,44;0,84;0,94;0,74;0,48;0,98;0,3;0,6;2,16;0,68
H5- inf;0,71;0,66;1,03;1,18;2,86;1,39;1,53;1,57;1,22;1,25
H6- MOCK;0,96;0,65;1,1;0,94;1,54;1,03;0,31;1,19;0,8;0,45
H7- MOCK;0;0,01;0,01;0;0;0;0;0;0;0
H8- MOCK;0;0;0;0;0;0;0;0;0;0
H9- MOCK;0;0;0;0,01;0;0;0;0;0;0
H10- MOCK;0;0;0,01;0;0;0;0;0;0;0
H11- MOCK;0,01;0;0;0,01;0;0;0;0;0;0
H12- MOCK;0,02;0;0;0;0;0;0;0;0;0
