T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
LNPEP,PM,-0.441019,-2.56766,0.159144,-1.07977,-1.22671,-1.35356,-1.87598,-1.62554,-1.34878,-3.27414,-1.98365,-1.18069,Q9UIQ6;Q9UIQ6-2;Q9UIQ6-3,LCAP_HUMAN,Q9UIQ6,Leucyl-cystinyl aminopeptidase
RAB11B;RAB25,PM,-0.669082,-3.11128,0.0237055,-0.96649,-1.46063,-1.63925,-1.81216,-1.82232,-0.948984,-2.98204,-0.997067,-1.09845,P62491;P57735;Q15907;H3BSC1;P62491-2;H3BMH2;Q15907-2,RAB25_HUMAN;RB11B_HUMAN,P57735;Q15907,Ras-related protein Rab-25
SLC12A9,PM,-1.09787,-2.77643,0.116305,-1.29668,-1.00235,-1.33173,-1.67354,-1.60826,-0.904218,-2.79334,-0.755586,-1.06135,Q9BXP2,S12A9_HUMAN,Q9BXP2,Solute carrier family 12 member 9
RAB14,PM,-1.17418,-2.69978,0.0444963,-1.16771,-1.30538,-1.38077,-1.7804,-1.82224,-1.76561,-3.43687,-0.634668,-1.00313,P61106;X6RFL8,RAB14_HUMAN,P61106,Ras-related protein Rab-14
MRC2,PM,-0.829839,-2.4251,0.0433655,-1.48497,-1.24644,-1.26666,-1.46301,-1.69,-1.94827,-3.11467,-0.895347,-1.02042,Q9UBG0,MRC2_HUMAN,Q9UBG0,C-type mannose receptor 2
LDLR,PM,-1.00819,-2.47763,0.334535,-1.29558,-1.15658,-1.20883,-1.48813,-1.45188,-1.79902,-3.42322,-0.802751,-1.03657,P01130;J3KMZ9;H0YMD1;P01130-2;P01130-3;P01130-4;P01130-5;P01130-6,LDLR_HUMAN,P01130;P01130-3,Low-density lipoprotein receptor
RAB10;RAB12;RAB14;RAB1A;RAB1B;RAB1C;RAB30;RAB35;RAB3A;RAB3B;RAB3D;RAB43;RAB4A;RAB4B;RAB8A;RAB8B,PM,-0.992744,-2.51164,0.194562,-1.20738,-1.23111,-1.25861,-1.71082,-1.64137,-1.56097,-3.42002,-1.05247,-1.29614,P20338;Q86YS6;Q92928;Q96AX2;Q6IQ22;Q9H0U4;P62820;P61106;Q15286;P20337;O95716;P61026;Q15771;Q96E17;P20336;Q96DA2;Q92930;P61006;P61018;A8MSP2;A8MTC6;Q86YS6-2;Q15286-2;Q6PIK3;Q15771-2;H0YMN7;H0YNE9;H0YDK7;Q96AX2-2;Q96AX2-3;Q96AX2-4;C9JFM7;B7Z3L0;A8MZI4;M0R0X1;M0R257;E9PS06;E9PRF7;E9PNB9;X6RFL8;E9PMJ1;E9PJQ5;E9PI18;P61018-2;A0A3B3ITT1;F5H157;P61006-2,RAB10_HUMAN;RAB12_HUMAN;RAB14_HUMAN;RAB1A_HUMAN;RAB1B_HUMAN;RAB1C_HUMAN;RAB30_HUMAN;RAB35_HUMAN;RAB3A_HUMAN;RAB3B_HUMAN;RAB3D_HUMAN;RAB43_HUMAN;RAB4A_HUMAN;RAB4B_HUMAN;RAB8A_HUMAN;RAB8B_HUMAN,O95716;P20336;P20337;P20338;P61006;P61018;P61018-2;P61026;P61106;P62820;Q15286;Q15771;Q6IQ22;Q86YS6;Q92928;Q92930;Q9H0U4,Ras-related protein Rab-3D
ITFG1,PM,-0.959497,-1.91203,0.161029,-1.25867,-1.18838,-1.13177,-1.67761,-1.77028,-1.59402,-3.1706,-1.33428,-1.01318,Q8TB96;F5GXC5,TIP_HUMAN,Q8TB96,T-cell immunomodulatory protein
STX8,endosome-vesicle,0.346271,-2.24782,-1.24252,-1.01111,-1.54968,-1.14606,-1.73748,-1.57737,-1.7155,-3.26609,-1.52519,-1.14167,Q9UNK0,STX8_HUMAN,Q9UNK0,Syntaxin-8
SLC12A6,endosome-vesicle,0.852425,-2.76025,-1.23871,-1.38729,-1.57593,-1.24721,-1.77827,-1.27424,-1.82357,-2.85546,-1.04769,-1.18477,Q9UHW9;A0A6Q8PH21;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;B3KXX3,S12A6_HUMAN,Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6,Solute carrier family 12 member 6
VPS45,endosome-vesicle,0.484764,-2.74253,-1.38731,-1.15011,-1.44726,-1.31975,-1.94264,-1.36963,-1.58169,-3.03783,-1.08291,-1.11536,Q9NRW7;A0A2R8YE10;A0A2R8YD95;A0A2R8YEX8;B7Z7G7;A0A1B0GXI6;A0A8V8TNB6;A0A8V8TNE7;A0A8V8TNF0;A0A8V8TNF5;A0A8V8TNM6;A0A8V8TNQ5;A0A8V8TNR0;A0A8V8TLU0;A0A8V8TLW3;A0A8V8TLX3;A0A8V8TLZ5;A0A8V8TMC6;A0A8V8TMD1;A0A8V8TMF8;A0A8V8TMG3;A0A8V8TMG7;A0A8V8TMH2;A0A8V8TM00;A0A8V8TM05;A0A8V8TM10,VPS45_HUMAN,Q9NRW7,Vacuolar protein sorting-associated protein 45
SLC12A4,endosome-vesicle,0.533156,-2.75168,-1.73337,-0.95201,-1.53739,-1.13538,-1.81594,-1.45294,-1.83837,-3.12041,-1.00529,-1.16378,Q9UP95;Q9UP95-2;Q9UP95-3;Q9UP95-5;Q9UP95-6;Q9UP95-7;I3L4N6,S12A4_HUMAN,Q9UP95;Q9UP95-7,Solute carrier family 12 member 4
SLC12A4,endosome-vesicle,0.372941,-2.90584,-0.934076,-1.06769,-1.5032,-1.21295,-1.87219,-1.23631,-1.83179,-3.14641,-1.22525,-1.16365,Q9UP95;Q9UP95-2;Q9UP95-3;Q9UP95-4;Q9UP95-5;Q9UP95-6;Q9UP95-7;I3L4N6,S12A4_HUMAN,Q9UP95;Q9UP95-4;Q9UP95-7,Solute carrier family 12 member 4
SLC12A4;SLC12A6,endosome-vesicle,0.0620763,-2.50425,-0.981848,-1.11706,-1.3214,-1.32684,-1.87837,-1.58493,-0.933856,-3.12065,-1.42257,-1.13303,Q9UP95;Q9UHW9;Q9UP95-2;Q9UP95-3;Q9UP95-4;Q9UP95-5;Q9UP95-6;Q9UP95-7;A0A6Q8PH21;H0YMQ9;H0YKQ8;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;B3KXX3;I3L4N6,S12A4_HUMAN;S12A6_HUMAN,Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;Q9UP95;Q9UP95-4;Q9UP95-7,Solute carrier family 12 member 6
SLC12A4,endosome-vesicle,0.308234,-2.62341,-1.6416,-1.11703,-1.55442,-1.20201,-1.86015,-1.60641,-1.1308,-3.20955,-0.414207,-1.16237,Q9UP95;Q9UP95-2;Q9UP95-3;Q9UP95-4;I3L1N8,S12A4_HUMAN,Q9UP95;Q9UP95-4,Solute carrier family 12 member 4
SLC12A4;SLC12A6,endosome-vesicle,0.281499,-3.19961,-0.331201,-1.19938,-1.38057,-1.31985,-1.93146,-1.31868,-1.41378,-3.06845,-1.54549,-1.14224,Q9UP95;Q9H2X9;Q9UHW9;Q9UP95-2;Q9UP95-5;Q9UP95-6;Q9UP95-7;A0A6Q8PH21;A0A1B0GVB1;Q9H2X9-2;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;B3KXX3;I3L4N6,S12A4_HUMAN;S12A6_HUMAN,Q9UHW9;Q9UHW9-2;Q9UHW9-3;Q9UHW9-4;Q9UHW9-5;Q9UHW9-6;Q9UP95;Q9UP95-7,Solute carrier family 12 member 6
STX16,endosome-vesicle,0.0778914,-3.45556,-0.677012,-1.0532,-1.26057,-1.63266,-1.6561,-1.32472,-1.08155,-2.6291,-1.7133,-1.00063,O14662;B7ZBM8;F8W9Z6;O14662-2;O14662-4;O14662-5;O14662-6;Q96NX8;H3BU86,STX16_HUMAN,O14662;O14662-2;O14662-5,Syntaxin-16
ATP11C,PM,-1.03637,-2.30592,1.53035,-1.11946,-1.17961,-1.12181,-1.45256,-1.65868,-2.74165,-3.40616,-2.6413,-1.04501,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4;A0A804HIW2;A0A067XG54,AT11C_HUMAN,Q8NB49-3,"Isoform of Q8NB49, Isoform 3 of Phospholipid-transporting ATPase IG"
