T: T: Genes,C: Winner INF,endosome-vesicle,protein-complex,PM,ER,Cytoplasm,Mitochondria,Nucleus,Translation,Lysosome,Peroxisome,Golgi apparatus,LD,T: T: Protein Ids,T: T: Protein Names,T: T: Protein Group,T: T: First Protein Description
ENOPH1,Cytoplasm,-1.71133,-1.32087,-1.91311,-1.24125,1.05871,-1.6652,-1.16651,-1.99959,-3.49776,-1.71452,-2.23538,-1.55419,Q9UHY7;Q9UHY7-2;D6RA00,ENOPH_HUMAN,Q9UHY7,Enolase-phosphatase E1
TAGLN3,Cytoplasm,-1.69143,-2.27322,-2.04887,-1.63245,1.69172,-1.13094,-1.31443,-2.05944,-3.26511,-1.7969,-2.01154,-1.6283,Q9UI15;C9J5W6;H7C5N2,TAGL3_HUMAN,Q9UI15,Transgelin-3
TRMT112,Cytoplasm,-1.72337,-1.26402,-2.00626,-1.27631,1.39205,-2.0681,-1.34813,-1.65624,-3.43244,-1.68801,-1.59818,-1.43145,Q9UI30,TR112_HUMAN,Q9UI30,Multifunctional methyltransferase subunit TRM112-like protein
RABGEF1,Cytoplasm,-1.1432,-1.45949,-0.576878,-1.16122,1.03473,-1.97737,-1.18133,-1.96473,-3.21195,-1.77775,-1.26777,-1.37866,Q9UJ41;Q9UJ41-3;Q9UJ41-4;E9PFK9,RABX5_HUMAN,Q9UJ41;Q9UJ41-3;Q9UJ41-4,Rab5 GDP/GTP exchange factor
SH3BGRL2,Cytoplasm,-1.77105,-1.85681,-1.69079,-1.14256,0.872969,-1.29487,-1.34387,-2.0078,-3.58292,-1.74093,-1.73451,-1.49143,Q9UJC5,SH3L2_HUMAN,Q9UJC5,SH3 domain-binding glutamic acid-rich-like protein 2
DBNL,Cytoplasm,-1.88983,-1.38827,-1.73485,-1.10417,1.02321,-1.89387,-1.11551,-1.5459,-3.45868,-1.67771,-1.63453,-1.36365,Q9UJU6;Q9UJU6-5;H0Y5J4,DBNL_HUMAN,Q9UJU6,Drebrin-like protein
DBNL,Cytoplasm,-1.32228,-0.404066,-1.69891,-1.52166,0.636936,-2.1069,-1.49453,-2.73358,-3.70396,-1.95403,-2.21246,-1.57154,Q9UJU6-2;Q9UJU6-3;Q9UJU6-4;Q9UJU6-6;B4DDD6,DBNL_HUMAN,Q9UJU6-3,"Isoform of Q9UJU6, Isoform 3 of Drebrin-like protein"
DBNL,Cytoplasm,-1.53203,-1.5857,-1.38498,-1.10796,1.42319,-2.26923,-1.29333,-1.77036,-3.46388,-1.72719,-1.68067,-1.53598,Q9UJU6;F8WBG8;Q9UJU6-2;Q9UJU6-3;Q9UJU6-6;B4DDD6,DBNL_HUMAN,Q9UJU6;Q9UJU6-3,Drebrin-like protein
DDX41,Nucleus,-1.98777,-1.68254,-1.78152,-3.82525,-1.85585,-2.78166,1.57461,-0.937557,-4.13324,-2.1877,-1.60711,-1.25264,Q9UJV9,DDX41_HUMAN,Q9UJV9,Probable ATP-dependent RNA helicase DDX41
ANAPC7,Translation,-1.12342,-2.12918,-2.0113,-1.40767,-1.58797,-0.856613,-1.39047,1.51231,-3.27633,-1.50689,-1.62943,-1.23687,Q9UJX3;Q9UJX3-2,APC7_HUMAN,Q9UJX3,Anaphase-promoting complex subunit 7
ANAPC4,Translation,-1.1071,-2.80914,-2.18999,-1.54404,-0.862265,-0.940259,-0.838226,1.07865,-3.47631,-1.65998,-1.19338,-1.2809,Q9UJX5;Q9UJX5-3,APC4_HUMAN,Q9UJX5;Q9UJX5-3,Anaphase-promoting complex subunit 4
HSPB8,Cytoplasm,-1.73815,-1.11287,-1.86507,-1.07124,1.26462,-2.84755,-1.23054,-2.085,-3.46954,-1.67115,-1.24903,-1.49753,Q9UJY1;A0A6Q8PGM6;H0YG30,HSPB8_HUMAN,Q9UJY1,Heat shock protein beta-8
GGA2,Cytoplasm,-1.86284,-1.89644,-1.87872,-1.32912,1.91921,-1.9708,-1.27669,-1.99761,-3.40462,-1.70654,-1.7195,-1.34526,Q9UJY4,GGA2_HUMAN,Q9UJY4,ADP-ribosylation factor-binding protein GGA2
GGA1,Cytoplasm,-1.46611,-0.776004,-0.617827,-0.951546,0.200681,-2.03833,-1.46525,-1.665,-3.48148,-1.74168,-1.30262,-0.95378,Q9UJY5;Q9UJY5-4;Q9UJY5-6;Q9UJY5-2;Q9UJY5-3,GGA1_HUMAN,Q9UJY5;Q9UJY5-4,ADP-ribosylation factor-binding protein GGA1
VPS28,Cytoplasm,-1.10573,-0.737933,-1.22726,-1.443,0.530861,-2.03344,-1.24995,-2.80533,-3.24096,-1.7637,-1.52397,-1.48289,Q9UK41;E9PR04;E9PQR7;E9PM90;Q9UK41-2,VPS28_HUMAN,Q9UK41;Q9UK41-2,Vacuolar protein sorting-associated protein 28 homolog
LSM7,Nucleus,-2.02726,-1.83121,-2.48142,-2.36238,-1.2126,-0.754112,0.820886,-1.958,-4.30183,-2.37174,-1.88973,-1.15619,Q9UK45;A0A087X2I5,LSM7_HUMAN,Q9UK45,U6 snRNA-associated Sm-like protein LSm7
FBXO9,Cytoplasm,-2.58484,-1.16769,-1.0362,-1.70075,0.886987,-1.18906,-0.52319,-2.02267,-3.50865,-1.70358,-1.64411,-1.17494,Q9UK97;V9GZ74;H7C4H6;Q9UK97-2;Q9UK97-3,FBX9_HUMAN,Q9UK97;Q9UK97-2;Q9UK97-3,F-box only protein 9
PTBP2,Nucleus,-2.29762,-2.01947,-2.46912,-0.348463,-1.15931,-1.02598,0.851388,-3.04535,-3.89352,-2.10446,-2.09518,-1.12246,Q9UKA9;A0A6Q8PFC0;A0A6Q8PFE6;A0A6Q8PH43;A0A6Q8PEZ3;A0A7I2RVZ4;B4DI28;Q9UKA9-2;Q9UKA9-3;Q9UKA9-4;Q9UKA9-5;Q9UKA9-6,PTBP2_HUMAN,Q9UKA9;Q9UKA9-2,Polypyrimidine tract-binding protein 2
MRTO4,Translation,-1.47625,-1.39087,-2.64422,-0.845925,-2.31595,-1.25309,-0.439846,0.486141,-3.57102,-1.861,-1.27093,-1.40957,Q9UKD2,MRT4_HUMAN,Q9UKD2,mRNA turnover protein 4 homolog
CPSF3,Nucleus,-1.83765,-2.05839,-1.42777,-4.8418,-1.5607,-1.88111,1.80701,-1.14158,-4.35818,-2.49319,-2.11262,-1.408,Q9UKF6;G5E9W3,CPSF3_HUMAN,Q9UKF6,Cleavage and polyadenylation specificity factor subunit 3
APPL1,protein-complex,-2.23026,0.929547,-1.9798,-1.35446,-0.0349548,-1.51007,-1.74165,-2.6792,-3.51633,-1.68382,-1.55392,-1.39965,Q9UKG1,DP13A_HUMAN,Q9UKG1,DCC-interacting protein 13-alpha
CROT,Peroxisome,-1.49436,-2.23792,-2.27336,-0.632309,-1.42795,-2.95233,-1.43421,-1.36551,-0.343468,0.169601,-1.59178,-1.06843,Q9UKG9;C9J3D7;Q9UKG9-2,OCTC_HUMAN,Q9UKG9,Peroxisomal carnitine O-octanoyltransferase
CDC42EP3,Cytoplasm,-1.55997,-1.63819,-0.390429,-1.18096,0.299212,-1.5047,-2.09279,-2.52772,-3.53307,-2.79064,-2.84924,-1.35779,Q9UKI2;C9JEZ4,BORG2_HUMAN,Q9UKI2,Cdc42 effector protein 3
TLK1,Translation,-0.905364,-1.70936,-2.88908,-1.39147,-1.90824,-1.9517,-0.261978,0.885176,-3.59717,-1.72068,-1.19636,-1.31889,Q9UKI8;Q9UKI8-2;Q9UKI8-3;Q9UKI8-4;Q9UKI8-5,TLK1_HUMAN,Q9UKI8;Q9UKI8-2;Q9UKI8-5,Serine/threonine-protein kinase tousled-like 1
PARP4,Translation,-0.877645,-1.30061,-2.64284,-1.17801,-0.830294,-1.82916,-1.33423,0.557423,-3.21157,-1.55995,-1.29603,-1.17813,Q9UKK3,PARP4_HUMAN,Q9UKK3,Protein mono-ADP-ribosyltransferase PARP4
NUDT5,Cytoplasm,-1.27588,-1.35874,-2.0605,-1.25719,1.50026,-1.41634,-1.23932,-2.1626,-3.33145,-1.75175,-2.00563,-1.58904,Q9UKK9;A6NFX8,NUDT5_HUMAN,Q9UKK9,ADP-sugar pyrophosphatase
ACIN1,Nucleus,-1.79424,-2.0262,-1.7516,-3.05908,-1.61933,-2.61088,2.05863,-1.33511,-4.4136,-2.63186,-1.79398,-1.37929,Q9UKV3;E7EQT4;Q9UKV3-5;S4R3H4,ACINU_HUMAN,Q9UKV3,Apoptotic chromatin condensation inducer in the nucleus
ACIN1,Nucleus,-1.821,-2.31985,-1.55664,-4.56198,-1.55103,-3.04438,2.03582,-1.17538,-4.22913,-2.68035,-1.94272,-1.44611,Q9UKV3;E7EQT4;G3V3B0;Q9UKV3-2;Q9UKV3-3;Q9UKV3-5;S4R3H4,ACINU_HUMAN,Q9UKV3;Q9UKV3-2,Apoptotic chromatin condensation inducer in the nucleus
ITGA11,PM,-1.09948,-2.64958,0.635055,-1.24488,-1.21895,-1.35038,-1.50566,-1.64989,-1.95657,-3.27548,-1.52445,-1.03875,Q9UKX5;Q9UKX5-2,ITA11_HUMAN,Q9UKX5;Q9UKX5-2,Integrin alpha-11
CNOT11,PM,-1.10769,-2.68893,0.31726,-1.8854,-1.28197,-1.3663,-1.18495,-1.62075,-1.58729,-3.23722,-0.677727,-1.34329,Q9UKZ1,CNO11_HUMAN,Q9UKZ1,CCR4-NOT transcription complex subunit 11
BAG5,protein-complex,-1.85751,0.840462,-1.40832,-2.02087,-1.25374,-2.31795,-1.13146,-2.80567,-4.35424,-2.18225,-1.21064,-1.3427,Q9UL15;Q9UL15-2,BAG5_HUMAN,Q9UL15,BAG family molecular chaperone regulator 5
BLOC1S6,Translation,-1.83972,-0.809667,0.0881947,-1.59724,-2.08365,-1.53746,-1.71876,0.655519,-3.24118,-1.87657,-1.7726,-1.39244,Q9UL45;H3BST1,BL1S6_HUMAN,Q9UL45,Biogenesis of lysosome-related organelles complex 1 subunit 6
PSME2,protein-complex,-1.3729,0.638799,-2.15852,-1.31678,-0.839893,-2.65021,-1.10052,-2.81124,-3.54421,-1.73232,-1.66915,-1.61403,Q9UL46;H0YM70;A0A087X1Z3,PSME2_HUMAN,Q9UL46,Proteasome activator complex subunit 2
TAOK2,Peroxisome,-1.19869,-1.69651,-1.86135,-0.474743,-1.33217,-3.42235,-2.18258,-1.64448,-2.89921,0.22331,-1.44483,-1.18549,Q9UL54;Q9UL54-3,TAOK2_HUMAN,Q9UL54-3,"Isoform of Q9UL54, Isoform 3 of Serine/threonine-protein kinase TAO2"
RAB23,PM,-1.2035,-2.29214,0.826691,-1.13125,-0.965166,-1.14435,-1.89434,-1.57179,-1.46227,-3.0278,-1.94279,-1.09811,Q9ULC3,RAB23_HUMAN,Q9ULC3,Ras-related protein Rab-23
SLC39A10,PM,-1.12909,-1.83507,1.35373,-1.02334,-1.19182,-1.04957,-1.8299,-1.84505,-2.01505,-3.36497,-2.90915,-1.01518,Q9ULF5;E7EV45;E7ENT5,S39AA_HUMAN,Q9ULF5,Zinc transporter ZIP10
ASAP1,Translation,-0.99066,-1.8741,-2.39038,-1.4921,-0.90625,-1.5369,-1.14221,0.896059,-3.40697,-1.5431,-1.27576,-1.23663,Q9ULH1;H0YBF7;Q9ULH1-2;A0A0A0MRE5,ASAP1_HUMAN,Q9ULH1,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1"
MRTFB,Cytoplasm,-1.75278,-1.18971,-1.74049,-1.71084,1.04182,-1.92302,-0.995381,-2.68546,-3.20541,-2.02536,-1.96499,-1.37909,Q9ULH7;Q9ULH7-2;Q9ULH7-3;Q9ULH7-4;Q9ULH7-5;I3L2S3,MRTFB_HUMAN,Q9ULH7;Q9ULH7-4;Q9ULH7-5,Myocardin-related transcription factor B
HEG1,PM,-1.10891,-1.90061,0.922658,-1.02555,-1.30139,-1.06433,-1.67813,-1.63753,-1.13535,-3.20116,-2.77025,-1.05809,Q9ULI3,HEG1_HUMAN,Q9ULI3,Protein HEG homolog 1
TBC1D24,PM,-1.03239,-2.75828,1.67894,-1.21825,-1.25901,-1.17895,-1.75482,-1.20664,-1.86816,-3.20675,-2.26636,-1.13753,Q9ULP9;A0A2R8Y518;H3BV07;Q9ULP9-2;A0A0D9SFR5;H3BQ06,TBC24_HUMAN,Q9ULP9;Q9ULP9-2,TBC1 domain family member 24
ISY1,Cytoplasm,-1.28473,-2.05371,-2.16625,-1.15331,0.211756,-1.62567,-1.21094,-1.51099,-3.60297,-1.71747,-0.786445,-1.39252,Q9ULR0;Q9ULR0-1;Q9ULR0-2,ISY1_HUMAN,Q9ULR0;Q9ULR0-1;Q9ULR0-2,Pre-mRNA-splicing factor ISY1 homolog
PPM1H,Cytoplasm,-2.11124,-2.00374,-1.5208,-0.478083,0.341565,-2.36137,-1.01753,-2.32285,-3.52785,-2.48637,-2.03692,-1.37176,Q9ULR3,PPM1H_HUMAN,Q9ULR3,Protein phosphatase 1H
NOB1,protein-complex,-1.65497,0.157865,-2.61907,-1.37018,-0.979538,-1.73378,-1.41018,-0.572061,-3.47363,-1.84471,-1.28437,-1.52437,Q9ULX3,NOB1_HUMAN,Q9ULX3,RNA-binding protein NOB1
MYO6,Cytoplasm,-1.56747,-0.969864,-1.13826,-1.80378,0.854082,-1.5854,-1.74351,-2.61299,-3.68383,-2.09533,-1.38554,-1.50943,Q9UM54-2;Q9UM54-5;A0A0A0MRM8,MYO6_HUMAN,Q9UM54-2;Q9UM54-5,"Isoform of Q9UM54, Isoform 2 of Unconventional myosin-VI"
MYO6,Golgi apparatus,-1.5488,-1.46159,-1.9986,-1.57761,-0.533027,-0.570119,-1.36962,-2.23073,-3.80718,-1.8659,0.00791946,-1.30739,Q9UM54;Q9UM54-1;Q9UM54-2;Q9UM54-4;Q9UM54-5;Q9UM54-6;A0A0D9SGC1;A0A590UKB0;A0A590UK22;A0A590UJ75;A0A590UJ40;A0A0A0MRM8;A0A1Y0BRN3,MYO6_HUMAN,Q9UM54-2;Q9UM54-5;Q9UM54-6,"Isoform of Q9UM54, Isoform 2 of Unconventional myosin-VI"
DDX19B,Cytoplasm,-0.656476,-1.83484,-1.99477,-1.47016,0.185932,-2.07438,-0.720225,-1.90113,-3.52815,-1.80671,-1.67677,-1.55253,Q9UMR2;H3BQK0;H3BN59;H3BMQ5;Q9UMR2-2;Q9UMR2-3;Q9UMR2-4,DD19B_HUMAN,Q9UMR2,ATP-dependent RNA helicase DDX19B
UBQLN1,Cytoplasm,-1.16797,-1.19315,-1.77988,-1.01954,1.37237,-1.84042,-1.28758,-2.20109,-3.38103,-1.71824,-1.68726,-1.59152,Q9UMX0;Q9UMX0-3;H0YEZ9,UBQL1_HUMAN,Q9UMX0,Ubiquilin-1
SNX12,endosome-vesicle,0.0899453,-1.03831,-1.92841,-1.54553,-0.637869,-1.7149,-1.68472,-2.70706,-3.11224,-1.75791,-1.41687,-1.4159,Q9UMY4;Q9UMY4-1;Q9UMY4-3;A0A087X0R6,SNX12_HUMAN,Q9UMY4;Q9UMY4-1,Sorting nexin-12
VPS4A,Cytoplasm,-1.06559,-1.24483,-1.46047,-1.13052,0.950111,-1.85227,-1.17683,-2.26066,-3.37151,-1.71076,-1.32864,-1.4931,Q9UN37;I3L4J1,VPS4A_HUMAN,Q9UN37,Vacuolar protein sorting-associated protein 4A
G3BP2,endosome-vesicle,0.291612,-2.07223,-2.41832,-1.01428,-1.6894,-1.30446,-1.86645,-1.08581,-2.49605,-3.10677,-0.769045,-1.06599,Q9UN86;A0A7I2YQD9;A0A7I2V3E2;A0A7I2V3P9,G3BP2_HUMAN,Q9UN86,Ras GTPase-activating protein-binding protein 2
PACSIN2,Cytoplasm,-0.88856,-1.56703,-1.49719,-1.40736,1.1238,-2.36141,-1.46118,-3.03281,-3.63665,-1.80822,-2.03385,-1.5996,Q9UNF0;B0QYG7;B0QYG8;Q9UNF0-2;A0A0U1RR22,PACN2_HUMAN,Q9UNF0;Q9UNF0-2,Protein kinase C and casein kinase substrate in neurons protein 2
SNX7,Cytoplasm,0.00573375,-1.7303,-1.49537,-1.67446,0.0179072,-2.15389,-1.69762,-0.603368,-3.366,-1.80517,-1.72286,-1.44495,Q9UNH6;B7ZC83;Q9UNH6-2;Q9UNH6-3;E9PNL2,SNX7_HUMAN,Q9UNH6;Q9UNH6-2;Q9UNH6-3,Sorting nexin-7
DUSP12,Cytoplasm,-0.829685,-1.09617,-2.72099,-1.29241,1.26503,-2.08015,-0.998795,-2.72005,-3.63705,-1.76867,-1.91207,-1.39287,Q9UNI6,DUS12_HUMAN,Q9UNI6,Dual specificity protein phosphatase 12
FAF1,Cytoplasm,-1.84283,-1.36137,-1.83556,-1.20345,1.35314,-1.99333,-1.30386,-1.84857,-3.48542,-1.67754,-1.54607,-1.40526,Q9UNN5;Q9UNN5-2,FAF1_HUMAN,Q9UNN5,FAS-associated factor 1
PROCR,endosome-vesicle,0.119403,-1.8654,-2.64943,-0.951331,-1.55853,-1.27157,-1.54493,-1.32054,-2.75804,-2.59722,-0.900775,-1.15319,Q9UNN8;A0A0U1RQQ4,EPCR_HUMAN,Q9UNN8,Endothelial protein C receptor
PPIE,Nucleus,-2.01912,-1.57642,-2.2905,-2.63011,-0.943776,-1.0738,1.07079,-1.78658,-4.35852,-2.67089,-1.77282,-1.19891,Q9UNP9;Q9UNP9-2;Q9UNP9-3;E9PK21,PPIE_HUMAN,Q9UNP9,Peptidyl-prolyl cis-trans isomerase E
NSFL1C,protein-complex,-1.59894,0.427315,-2.18186,-1.11718,-0.0607869,-2.7075,-1.30708,-2.32898,-3.49174,-1.695,-1.40499,-1.59814,Q9UNZ2;Q9UNZ2-4;Q9UNZ2-5;Q9UNZ2-6;F2Z2K0,NSF1C_HUMAN,Q9UNZ2;Q9UNZ2-5,NSFL1 cofactor p47
C19orf53,Nucleus,-2.08936,-2.05076,-2.25139,-3.46276,-0.363825,-2.67956,0.730636,-1.35847,-3.83287,-2.41306,-1.37559,-1.00286,Q9UNZ5,L10K_HUMAN,Q9UNZ5,Leydig cell tumor 10 kDa protein homolog
AP4E1,Cytoplasm,-0.224691,-1.66289,-3.18034,-1.45928,0.422698,-2.23822,-1.19642,-0.538243,-2.92286,-1.59992,-0.151838,-1.40999,Q9UPM8;Q9UPM8-2,AP4E1_HUMAN,Q9UPM8,AP-4 complex subunit epsilon-1
CEP131,Translation,-0.966341,-0.654576,-2.16094,-2.21047,-1.36378,-1.60091,-1.7479,0.568067,-3.5886,-1.9369,-2.30418,-1.35431,Q9UPN4;I3L2J8;Q9UPN4-2;Q9UPN4-3,CP131_HUMAN,Q9UPN4;Q9UPN4-2,Centrosomal protein of 131 kDa
TNRC6B,Translation,-0.544131,-1.64932,-1.77764,-1.27718,-1.69558,-1.41729,-2.02447,0.0396137,-2.80147,-2.68813,-1.32321,-1.14107,Q9UPQ9;H0Y720;Q9UPQ9-1,TNR6B_HUMAN,Q9UPQ9-1,"Isoform of Q9UPQ9, Isoform 2 of Trinucleotide repeat-containing gene 6B protein"
SMG5,Cytoplasm,-1.4699,-1.72087,-1.67954,-1.84244,0.603915,-1.82896,-1.1225,0.315873,-3.41361,-1.80854,-1.81396,-1.45518,Q9UPR3,SMG5_HUMAN,Q9UPR3,Nonsense-mediated mRNA decay factor SMG5
MAPK8IP3,Cytoplasm,-1.71877,-1.58757,-2.14462,-1.60167,1.19037,-1.13326,-1.38511,-1.80651,-3.32894,-1.75188,-2.09786,-1.53212,Q9UPT6;E9PFH7;A0A669KB35;A0A087WYG2,JIP3_HUMAN,Q9UPT6,C-Jun-amino-terminal kinase-interacting protein 3
ZC3H4,Nucleus,-2.03833,-1.71458,-1.61093,-3.85993,-1.74737,-2.34642,1.54437,-0.743634,-4.45776,-2.42803,-1.77676,-1.2577,Q9UPT8;M0QY97,ZC3H4_HUMAN,Q9UPT8,Zinc finger CCCH domain-containing protein 4
USP24,Cytoplasm,-0.874975,-1.7494,-2.7459,-1.40109,1.25191,-2.30099,-1.44868,-3.55944,-3.73525,-1.80515,-2.36159,-1.4832,Q9UPU5,UBP24_HUMAN,Q9UPU5,Ubiquitin carboxyl-terminal hydrolase 24
SAMD4A,Translation,-1.04459,-1.26361,-2.53778,-1.76854,-0.50844,-1.04352,-1.16586,0.0265349,-3.2923,-1.6846,-1.40772,-1.16943,Q9UPU9;G3V2R1;Q9UPU9-2;Q9UPU9-3,SMAG1_HUMAN,Q9UPU9,Protein Smaug homolog 1
SHANK2,PM,-0.981215,-1.76013,1.64341,-1.16827,-1.08513,-1.05398,-1.62196,-1.30845,-2.37064,-3.47225,-2.77856,-1.12913,Q9UPX8;Q9UPX8-1,SHAN2_HUMAN,Q9UPX8,SH3 and multiple ankyrin repeat domains protein 2
MAPRE3,Cytoplasm,-1.74734,-1.6054,-1.59006,-1.30242,1.2869,-1.65016,-1.1316,-1.51138,-3.48276,-1.69389,-1.54482,-1.40935,Q9UPY8;Q9UPY8-2;C9JB30,MARE3_HUMAN,Q9UPY8,Microtubule-associated protein RP/EB family member 3
HPS5,protein-complex,-0.862595,0.350785,-1.73744,-2.22339,-0.790487,-1.34749,-0.80905,-2.12689,-3.50475,-2.69631,-3.58013,-1.17908,Q9UPZ3;Q9UPZ3-2,HPS5_HUMAN,Q9UPZ3;Q9UPZ3-2,BLOC-2 complex member HPS5
DNM3,ER,-1.66919,-0.688375,-1.66165,0.818629,-0.874806,-1.73639,-2.35056,-1.62574,-3.2389,-2.15608,-1.90072,-1.25733,Q9UQ16;H0YBC6;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4;Q9UQ16-5;A0A8I5KXV5;E5RIK2;E5RHK8,DYN3_HUMAN,Q9UQ16;Q9UQ16-2;Q9UQ16-3;Q9UQ16-4,Dynamin-3
SRRM2,Nucleus,-1.81128,-1.75793,-1.73576,-2.69499,-1.1599,-2.98746,1.24471,-1.32986,-4.4182,-2.84467,-2.01256,-1.32733,Q9UQ35,SRRM2_HUMAN,Q9UQ35,Serine/arginine repetitive matrix protein 2
PA2G4,Translation,-1.4385,-1.75781,-2.34969,-1.40818,-1.27038,-1.57439,-1.14692,1.53179,-3.32125,-1.58888,-1.13844,-1.21295,Q9UQ80;F8VR77;F8W0A3;Q9UQ80-2,PA2G4_HUMAN,Q9UQ80,Proliferation-associated protein 2G4
SMC3,Nucleus,-2.01988,-1.76365,-2.05329,-3.0178,-1.53102,-2.64401,1.54039,-1.24095,-4.19446,-2.87116,-2.05967,-1.16651,Q9UQE7,SMC3_HUMAN,Q9UQE7,Structural maintenance of chromosomes protein 3
MTMR6,Translation,-1.31608,-1.71509,-1.88885,-1.62558,-1.72109,-1.54522,-1.2153,1.79588,-3.33114,-1.69201,-1.17515,-1.28934,Q9Y217;Q9Y217-2,MTMR6_HUMAN,Q9Y217,Myotubularin-related protein 6
GNE,protein-complex,-1.60167,0.00834799,-2.20377,-1.21484,-0.671819,-2.41086,-0.549465,-2.83298,-3.79403,-1.75625,-0.542242,-1.48615,Q9Y223;A0A7I2SU25;Q9Y223-2;Q9Y223-3;Q9Y223-4;Q9Y223-5,GLCNE_HUMAN,Q9Y223;Q9Y223-2,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase
RUVBL2,protein-complex,-1.73411,1.64152,-2.26841,-1.31309,-1.54386,-2.52165,-1.45134,-2.73244,-3.52402,-1.72236,-1.29063,-1.61986,Q9Y230;Q9Y230-2,RUVB2_HUMAN,Q9Y230,RuvB-like 2
PIN4,Translation,-1.71801,-1.95912,-2.53563,-1.51069,-1.40204,-1.6167,-0.733206,0.522791,-3.51907,-1.93482,-1.37243,-1.06157,Q9Y237;Q9Y237-2;Q9Y237-3;J3KMW3;H0Y8P6;H0Y610;H0Y4T6;A0A494C021,PIN4_HUMAN,Q9Y237;Q9Y237-2,Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4
AKT3,Cytoplasm,-1.34768,-0.73149,-2.79536,-1.96673,2.19196,-2.33394,-1.54915,-2.52836,-3.61852,-1.85269,-1.41853,-1.05394,Q9Y243;A0A7P0T8T9;Q9Y243-2;A0A5F9ZHU3;A0A5F9ZGY0;A0A5K1VW74,AKT3_HUMAN,Q9Y243;Q9Y243-2,RAC-gamma serine/threonine-protein kinase
LZTS1,ER,-0.71357,-1.84404,-2.72857,0.658485,-0.41468,-1.60652,-2.17348,-1.90393,-2.43234,-1.95047,-1.86821,-1.36187,Q9Y250;Q9Y250-2;Q9Y250-3;Q9Y250-4,LZTS1_HUMAN,Q9Y250;Q9Y250-3,Leucine zipper putative tumor suppressor 1
PLAA,Cytoplasm,-1.93054,-0.399437,-2.37295,-1.22826,0.515061,-2.46653,-1.40214,-2.37784,-3.56837,-1.70754,-1.85293,-1.54581,Q9Y263;H0YBW4;H0YC16;E5RIM3,PLAP_HUMAN,Q9Y263,Phospholipase A-2-activating protein
RUVBL1,protein-complex,-1.7043,1.80555,-2.49413,-1.40953,-1.61413,-2.40627,-1.6225,-2.88996,-3.53785,-1.71349,-1.32259,-1.55843,Q9Y265;H7C4G5,RUVB1_HUMAN,Q9Y265,RuvB-like 1
NUDC,Cytoplasm,-1.07347,-0.988059,-1.95404,-1.19576,1.14592,-1.71475,-1.26594,-2.39317,-3.2751,-1.73069,-1.87286,-1.52747,Q9Y266,NUDC_HUMAN,Q9Y266,Nuclear migration protein nudC
VDAC3,ER,-1.739,-1.58483,-1.12993,0.533764,-1.03907,-0.438767,-2.9868,-1.18222,-4.23202,-2.407,-3.29314,-1.1706,Q9Y277;E5RHZ6;E5RJN6;E5RHE1,VDAC3_HUMAN,Q9Y277,Voltage-dependent anion-selective channel protein 3
CFL2,Cytoplasm,-1.66388,-1.26441,-1.79267,-1.20282,1.30874,-2.16987,-1.23727,-1.67771,-3.43271,-1.69199,-1.49784,-1.44825,Q9Y281;Q9Y281-3;F8WDN3,COF2_HUMAN,Q9Y281,Cofilin-2
TRAPPC4,Translation,-0.322943,-0.3922,-2.08875,-1.52632,-2.84121,-1.6855,-1.75784,0.176635,-3.18511,-2.01779,-1.47061,-1.37655,Q9Y296;J3KP27;G3V1A0;G5EA23;Q9Y296-2;E9PQE8;E9PKS9;E9PN70,TPPC4_HUMAN,Q9Y296,Trafficking protein particle complex subunit 4
NCKAP1,protein-complex,-0.524743,1.17742,-2.98051,-1.74318,-1.48109,-1.50829,-1.45788,-3.05354,-4.05755,-2.02102,-2.39681,-1.40819,Q9Y2A7;Q9Y2A7-2,NCKP1_HUMAN,Q9Y2A7;Q9Y2A7-2,Nck-associated protein 1
CNPY2,ER,-1.93237,-1.49884,-1.35217,1.09484,-1.17476,-1.8745,-2.7773,-1.35895,-3.12447,-1.52121,-2.58593,-1.02549,Q9Y2B0;F8VXJ7;F8W031,CNPY2_HUMAN,Q9Y2B0,Protein canopy homolog 2
AKAP2,ER,-1.27741,-1.39107,-1.61178,0.905611,-1.32744,-2.7254,-0.239969,-1.40349,-4.33168,-2.64709,-2.17836,-1.23626,Q9Y2D5-4;Q9Y2D5-6;Q8IXS6-2;C9JZH4;B1ALY0,AKAP2_HUMAN,Q9Y2D5-6,"Isoform of Q9Y2D5, Isoform 4 of A-kinase anchor protein 2"
AKAP2,ER,-1.2331,-1.03233,-1.35321,0.215543,-1.27114,-2.82122,-0.567085,-1.12276,-4.52924,-2.52806,-2.51078,-1.16999,Q9Y2D5;Q9Y2D5-4;Q9Y2D5-5;Q9Y2D5-6;Q9Y2D5-7;C9JVY5,AKAP2_HUMAN,Q9Y2D5;Q9Y2D5-6,A-kinase anchor protein 2
ATP11B,Cytoplasm,-1.97017,-1.27546,-1.20276,-1.4935,1.40858,-1.89163,-1.83535,-2.72592,-3.07995,-1.88208,-0.976709,-1.4321,Q9Y2G3;H7C4W6,AT11B_HUMAN,Q9Y2G3,Phospholipid-transporting ATPase IF
